幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,28.96500,29.26500,29.25000,29.22100,29.16700,29.11400,29.05000,28.98300,28.91700,本行賣出,29.50700,29.36500,29.35400,29.33200,29.28100,29.22800,29.16800,29.11500,29.06300,
HKD,本行買入,3.60200,3.71700,3.71600,3.71300,3.71000,3.70600,3.70000,3.69300,3.68700,本行賣出,3.79200,3.77700,3.77700,3.77700,3.77300,3.76900,3.76500,3.76000,3.75500,
GBP,本行買入,39.67000,40.54000,40.53000,40.51100,40.49700,40.47100,40.42900,40.38600,40.34300,本行賣出,41.60000,40.96000,40.96500,40.97500,40.96200,40.93900,40.90900,40.88000,40.85000,
AUD,本行買入,22.77000,22.96000,22.94600,22.91800,22.87700,22.83700,22.78400,22.73500,22.68200,本行賣出,23.43000,23.19000,23.18300,23.16900,23.12800,23.09000,23.04500,23.00300,22.95800,
CAD,本行買入,22.93000,23.20000,23.18900,23.16600,23.13400,23.10000,23.05400,23.00800,22.96200,本行賣出,23.67000,23.42000,23.41700,23.41200,23.38100,23.35000,23.31300,23.27500,23.23800,
SGD,本行買入,21.71000,22.13000,22.11900,22.09800,22.07700,22.05000,22.01700,21.98400,21.95100,本行賣出,22.49000,22.31000,22.31100,22.31200,22.28600,22.26800,22.24100,22.21400,22.18700,
CHF,本行買入,30.73000,31.26000,31.26300,31.26800,31.29900,31.31500,31.32300,31.33200,31.34100,本行賣出,31.79000,31.55000,31.56500,31.59600,31.62700,31.64600,31.66600,31.68600,31.70700,
JPY,本行買入,0.26470,0.27110,0.27110,0.27100,0.27120,0.27120,0.27110,0.27110,0.27110,本行賣出,0.27570,0.27510,0.27520,0.27530,0.27550,0.27550,0.27560,0.27570,0.27570,
ZAR,本行買入,0.00000,2.42000,2.41400,2.40300,2.38800,2.37300,2.35700,2.34200,2.32600,本行賣出,0.00000,2.50000,2.49700,2.49100,2.47500,2.46100,2.44600,2.43100,2.41700,
SEK,本行買入,3.28000,3.62000,3.62000,3.62000,3.62300,3.62300,3.62300,3.62300,3.62200,本行賣出,3.79000,3.72000,3.72200,3.72500,3.72700,3.72800,3.72900,3.73000,3.73100,
NZD,本行買入,21.09000,21.33000,21.31400,21.28300,21.24000,21.20000,21.14900,21.09900,21.04900,本行賣出,21.72000,21.53000,21.52400,21.51100,21.46900,21.43000,21.38700,21.34400,21.30100,
THB,本行買入,0.82990,0.91840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.97290,0.95840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.48890,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.62190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00178,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00248,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.58000,36.08000,36.08100,36.08200,36.09700,36.10600,36.10800,36.11000,36.11100,本行賣出,36.73000,36.48000,36.49000,36.51100,36.53500,36.54500,36.56300,36.58000,36.59600,
KRW,本行買入,0.02546,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00092,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00142,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.40300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.99300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.53100,4.60300,4.59730,4.58580,4.56610,4.54720,4.52700,4.50690,4.48690,本行賣出,4.69300,4.65300,4.64950,4.64240,4.62710,4.61290,4.59870,4.58460,4.57050,
